genus_taxid,genus_name,n_samples_present,pct_samples_present
32630,synthetic construct,437,100.0
561,Escherichia,415,94.9657
673534,Plantactinospora,399,91.3043
1883,Streptomyces,362,82.8375
32008,Burkholderia,336,76.8879
286,Pseudomonas,317,72.54
1912216,Cutibacterium,316,72.3112
1279,Staphylococcus,264,60.4119
1716,Corynebacterium,260,59.4966
469,Acinetobacter,231,52.8604
48736,Ralstonia,226,51.7162
570,Klebsiella,223,51.0297
1763,Mycobacterium,221,50.5721
338,Xanthomonas,218,49.8856
55193,Malassezia,218,49.8856
374,Bradyrhizobium,215,49.1991
1301,Streptococcus,206,47.1396
13687,Sphingomonas,192,43.9359
1827,Rhodococcus,178,40.7323
40323,Stenotrophomonas,170,38.9016
2034,Curtobacterium,168,38.4439
68,Lysobacter,166,37.9863
265,Paracoccus,165,37.7574
1386,Bacillus,165,37.7574
475,Moraxella,163,37.2998
1269,Micrococcus,160,36.6133
407,Methylobacterium,158,36.1556
33882,Microbacterium,158,36.1556
724,Haemophilus,153,35.0114
1654,Actinomyces,153,35.0114
1839,Nocardioides,150,34.3249
106589,Cupriavidus,147,33.6384
234,Brucella,147,33.6384
32207,Rothia,147,33.6384
517,Bordetella,146,33.4096
47420,Hydrogenophaga,144,32.9519
41275,Brevundimonas,143,32.7231
1357,Lactococcus,142,32.4943
547,Enterobacter,141,32.2654
12916,Acidovorax,136,31.1213
642,Aeromonas,133,30.4348
57493,Kocuria,133,30.4348
1822464,Paraburkholderia,131,29.9771
482,Neisseria,131,29.9771
68287,Mesorhizobium,131,29.9771
34072,Variovorax,130,29.7483
662,Vibrio,128,29.2906
2979332,Prescottella,128,29.2906
196013,Caldimonas,126,28.833
1866885,Mycolicibacterium,124,28.3753
635,Edwardsiella,123,28.1465
165695,Sphingobium,123,28.1465
1350,Enterococcus,123,28.1465
1578,Lactobacillus,123,28.1465
283,Comamonas,121,27.6888
1988,Actinomadura,120,27.46
89966,Hymenobacter,120,27.46
590,Salmonella,119,27.2311
1707,Cellulomonas,117,26.7735
237,Flavobacterium,116,26.5446
1298,Deinococcus,115,26.3158
1485,Clostridium,114,26.087
1073,Rhodopseudomonas,113,25.8581
379,Rhizobium,113,25.8581
1663,Arthrobacter,113,25.8581
909656,Phocaeicola,113,25.8581
149698,Massilia,112,25.6293
165696,Novosphingobium,112,25.6293
93217,Pandoraea,111,25.4005
1678,Bifidobacterium,111,25.4005
75,Caulobacter,110,25.1716
2282523,Methylorubrum,108,24.714
44249,Paenibacillus,108,24.714
5800,Eimeria,108,24.714
59732,Chryseobacterium,106,24.2563
838,Prevotella,104,23.7986
222,Achromobacter,103,23.5698
1873,Micromonospora,103,23.5698
2767358,Mycoplasmopsis,102,23.341
963,Herbaspirillum,102,23.341
336809,Candidatus Karelsulcia,102,23.341
125216,Roseomonas,101,23.1121
165697,Sphingopyxis,100,22.8833
1573,Clavibacter,100,22.8833
2013,Nocardiopsis,100,22.8833
501783,Cloacibacterium,100,22.8833
5806,Cryptosporidium,100,22.8833
80865,Delftia,99,22.6545
1696,Brevibacterium,99,22.6545
2053,Gordonia,98,22.4256
1378,Gemella,98,22.4256
2745,Halomonas,96,21.968
33877,Agromyces,96,21.968
29465,Veillonella,96,21.968
357,Agrobacterium,95,21.7391
2529408,Schaalia,94,21.5103
670516,Mycobacteroides,93,21.2815
43668,Brachybacterium,93,21.2815
114185,Candidatus Carsonella,93,21.2815
2901164,Stutzerimonas,92,21.0526
83618,Pseudoxanthomonas,92,21.0526
958,Bdellovibrio,92,21.0526
85413,Bosea,90,20.595
120831,Dyadobacter,89,20.3661
194,Campylobacter,89,20.3661
2767842,Lactiplantibacillus,88,20.1373
29832,Hanseniaspora,88,20.1373
53335,Pantoea,87,19.9085
2782229,Epilithonimonas,87,19.9085
20,Phenylobacterium,86,19.6796
1817,Nocardia,86,19.6796
1847,Pseudonocardia,86,19.6796
1827195,Caballeronia,85,19.4508
2759736,Lacticaseibacillus,85,19.4508
1982251,Pahexavirus,85,19.4508
150022,Finegoldia,85,19.4508
238749,Diaphorobacter,84,19.222
5754,Acanthamoeba,83,18.9931
366614,Haematobacter,83,18.9931
1041,Erythrobacter,81,18.5355
32067,Leptotrichia,81,18.5355
544,Citrobacter,80,18.3066
28105,Sinorhizobium,80,18.3066
1847725,Lawsonella,79,18.0778
848,Fusobacterium,79,18.0778
5690,Trypanosoma,79,18.0778
1865,Actinoplanes,77,17.6201
204037,Dickeya,76,17.3913
1813,Amycolatopsis,76,17.3913
39643,Sorangium,75,17.1625
323620,Shinella,75,17.1625
33886,Rathayibacter,75,17.1625
32199,Buchnera,75,17.1625
28065,Rhodoferax,74,16.9336
414371,Aureimonas,74,16.9336
191,Azospirillum,74,16.9336
117563,Granulicatella,74,16.9336
209,Helicobacter,72,16.476
5052,Aspergillus,72,16.476
47670,Lautropia,72,16.476
174951,Ramlibacter,72,16.476
29580,Janthinobacterium,72,16.476
99,Ancylobacter,72,16.476
816,Bacteroides,72,16.476
337004,Microcella,71,16.2471
2801844,Arachnia,71,16.2471
1522432,Pseudoduganella,70,16.0183
186650,Microvirga,70,16.0183
46913,Devosia,70,16.0183
1742993,Pseudarthrobacter,70,16.0183
83614,Luteimonas,69,15.7895
57495,Dermacoccus,68,15.5606
1129,Synechococcus,68,15.5606
141948,Thermomonas,67,15.3318
1111,Porphyrobacter,67,15.3318
53457,Janibacter,67,15.3318
1243,Leuconostoc,67,15.3318
165779,Anaerococcus,67,15.3318
157,Treponema,67,15.3318
497,Psychrobacter,66,15.103
55968,Leucobacter,65,14.8741
125287,Ornithinimicrobium,65,14.8741
10319,Varicellovirus,65,14.8741
953,Wolbachia,65,14.8741
5552,Trichosporon,65,14.8741
2923352,Mesomycoplasma,64,14.6453
318147,Paucibacter,63,14.4165
846,Oxalobacter,63,14.4165
1649486,Rhizorhabdus,63,14.4165
1855416,Qipengyuania,63,14.4165
1060,Rhodobacter,63,14.4165
270,Thermus,63,14.4165
1295327,Croceicoccus,62,14.1876
2767885,Latilactobacillus,62,14.1876
59734,Empedobacter,62,14.1876
34102,Sphaerotilus,61,13.9588
361177,Altererythrobacter,61,13.9588
