genus_taxid,genus_name,n_samples_present,pct_samples_present,reads_log_mean,reads_log_sd,kmers_log_mean,kmers_log_sd,cov_log_mean,cov_log_sd,reads_p50,reads_p90,reads_p95,reads_p99,reads_max,kmers_min,kmers_p25,kmers_p50,kmers_p75,kmers_p95,kmers_max,dup_min,dup_p25,dup_p50,dup_p75,dup_p95,dup_max,cov_min,cov_p25,cov_p50,cov_p75,cov_p95,cov_max,adj_kmers_log_mean,adj_kmers_log_sd
32630,synthetic construct,437,100.0,3.2254,0.7807,3.7631,0.3565,-2.8053,0.3566,994.0,29427.4,79541.8,210741.08,910771,1044,3178.0,4775.0,9052.0,33576.4,68012,5.95,31.9,67.6,185.0,1130.0,3570.0,0.0002821,0.0008587,0.00129,0.002446,0.0090728,0.01838,2.8043,0.4175
561,Escherichia,415,94.9657,0.981,0.6966,2.7448,0.7267,-5.0594,1.1156,6.0,65.4,344.0,1321.2,18641,0,405.0,579.0,1274.0,3710.2,13460,1.0,1.42,1.8,2.475,5.599,33.534493857625655,0.0,5.766e-06,8.211e-06,2.202e-05,0.0003712,0.06657,2.599,0.6612
673534,Plantactinospora,399,91.3043,0.9048,0.7118,2.4416,0.9232,-4.4431,1.4708,5.0,44.4,439.4,1569.56,18777,0,138.0,386.0,948.0,4680.0,19124,1.0,1.13,1.353,1.811,3.767,27.944877580412868,0.0,3.953e-05,7.95e-05,0.0001701,0.00060926,0.002564,2.3543,0.8612
1883,Streptomyces,362,82.8375,0.7562,0.72,1.3643,0.9494,-5.4961,1.8773,3.0,77.4,248.8,976.12,8330,0,4.0,21.0,82.0,1215.8,10974,1.0,1.18,1.683,2.883,23.206,106.89656684943066,0.0,5.025e-07,7.479e-06,8.571e-05,0.00053484,0.002385,1.2662,0.8814
32008,Burkholderia,336,76.8879,1.0613,1.1113,1.9381,1.5217,-5.7396,2.1114,3.0,523.4,3279.0,12778.92,28367,0,3.0,63.0,964.0,51875.8,512886,1.0,1.18,1.779,2.784,9.949,62.1,0.0,2.923e-07,2.992e-06,4.427e-05,0.0047224,0.03448,1.8342,1.4995
286,Pseudomonas,317,72.54,0.7503,0.8953,1.3989,1.2069,-6.1128,2.0493,2.0,216.4,371.8,2029.92,189250,0,0.0,19.0,126.0,3307.4,190758,1.0,1.12,1.581,3.058,17.081,680.7160630911499,0.0,0.0,2.15e-06,1.425e-05,0.001278,0.043,1.3156,1.1564
1912216,Cutibacterium,316,72.3112,1.1955,1.1702,2.3224,1.7445,-4.9687,2.686,9.0,821.4,2765.4,30388.88,887545,0,0.0,282.0,3810.0,119445.2,3102131,1.0,1.044,1.179,1.859,15.1,49.03589743589743,0.0,0.0,6.287e-05,0.0009509,0.02594,0.6728,2.2423,1.7223
1279,Staphylococcus,264,60.4119,0.7216,0.93,1.5928,1.5185,-6.2133,2.387,1.0,131.4,395.0,6315.68,87868,0,0.0,58.0,480.0,17226.8,493279,1.0,1.075,1.49,2.269,7.904,130.51249260254014,0.0,0.0,4.821e-06,4.056e-05,0.0014656,0.05553,1.5362,1.4847
1716,Corynebacterium,260,59.4966,0.7011,0.8909,1.4189,1.4482,-6.2264,2.4348,1.0,97.2,321.2,2401.44,66573,0,0.0,15.0,327.0,9566.4,262787,1.0,1.036,1.367,2.107,11.695,72.0,0.0,0.0,4.911e-06,4.636e-05,0.0018254,0.1264,1.3708,1.4198
469,Acinetobacter,231,52.8604,0.5701,0.8332,1.2122,1.337,-6.824,2.1799,1.0,65.8,238.4,1299.04,171526,0,0.0,6.0,140.0,5060.0,147451,1.0,1.094,1.405,2.71,11.273,811.3507955645208,0.0,0.0,7.518e-07,1.009e-05,0.00026498,0.01359,1.1559,1.2946
48736,Ralstonia,226,51.7162,0.5914,0.8158,1.2667,1.4201,-6.6353,2.4003,1.0,41.2,244.2,3053.32,43429,0,0.0,5.0,237.0,4446.2,317765,1.0,1.0,1.135,1.768,11.242,463.1732644628099,0.0,0.0,7.034e-07,3.058e-05,0.00052506,0.05755,1.2244,1.3909
570,Klebsiella,223,51.0297,0.3937,0.6411,0.9648,1.0239,-7.1506,1.8581,1.0,15.4,102.6,404.32,23567,0,0.0,2.0,76.0,367.2,2850,1.0,1.32,1.793,2.912,8.946,308.87391606907966,0.0,0.0,4.222e-07,3.525e-06,2.657e-05,0.0005264,0.8829,0.9365
